**Parameter**;**Datatype**;**Explanation**
p_hv_mw;float;active power flow at the high voltage transformer bus [MW]
q_hv_kvar;float;reactive power flow at the high voltage transformer bus [kVar]
p_mv_mw;float;active power flow at the medium voltage transformer bus [MW]
q_mv_kvar;float;reactive power flow at the medium voltage transformer bus [kVar]
p_lv_mw;float;active power flow at the low voltage transformer bus [MW]
q_lv_kvar;float;reactive power flow at the low voltage transformer bus [kVar]
pl_mw;float;active power losses of the transformer [MW]
ql_kvar;float;reactive power consumption of the transformer [kvar]
i_hv_ka ;float;current at the high voltage side of the transformer [kA]
i_mv_ka ;float;current at the medium voltage side of the transformer [kA]
i_lv_ka ;float;current at the low voltage side of the transformer [kA]
loading_percent;float;transformer utilization [%]
