**Parameter**;**Datatype**;**Value Range**;**Explanation**
name;string;;name of the generator
type;string;"| naming conventions:
| *""sync""* - synchronous generator
| *""async""* - asynchronous generator
";type variable to classify generators
bus*;integer;;index of connected bus
p_mw*;float;:math:`\leq` 0;the real power of the generator [MW]
vm_pu*;float;;voltage set point of the generator [p.u]
sn_mva;float;:math:`>` 0;nominal power of the generator [MVA]
min_q_mvar;float;;minimal reactive power of the generator [MVar]
max_q_mvar;float;;maximal reactive power of the generator [MVar]
scaling*;float;:math:`\leq` 0;scaling factor for the active power
max_p_mw**;float;;Maximum active power
min_p_mw**;float;;Minimum active power
max_q_mvar**;float;;Maximum reactive power
min_q_mvar**;float;;Minimum reactive power
vn_kv***;float;;Rated voltage of the generator
xdss_pu***;float;:math:`>` 0;Subtransient generator reactance in per unit
rdss_ohm***;float;:math:`>` 0;Subtransient generator resistence in ohm
cos_phi***;float;:math:`0 \leq` 1;Rated generator cosine phi
in_service*;boolean;True / False;specifies if the generator is in service
power_station_trafo*;integer;;index of the power station trafo (short-circuit relevant).
